transaction_id;transaction_date;item_id;quantity;purchased_from;sold_to;transaction_type
DQ-00035;02 January 2020;OH0005;47;;RS DQLab;sell
DQ-00036;02 January 2020;OD0009;30;;RS DQLab;sell
DQ-00037;02 January 2020;OA0006;5;;RS DQLab;sell
DQ-00038;02 January 2020;OD0001;84;;RS DQLab;sell
DQ-00039;02 January 2020;OD0001;6;;RS DQLab;sell
DQ-00040;02 January 2020;OB0007;116;;RS DQLab;sell
DQ-00041;02 January 2020;OD0006;136;;RS DQLab;sell
DQ-00042;03 January 2020;OB0002;62;;RS DQLab;sell
DQ-00043;03 January 2020;OB0002;37;;RS DQLab;sell
DQ-00044;03 January 2020;OA0005;41;;RS DQLab;sell
DQ-00045;03 January 2020;OA0006;23;;RS DQLab;sell
DQ-00046;03 January 2020;OD0001;102;;RS DQLab;sell
DQ-00047;03 January 2020;OD0006;76;;RS DQLab;sell
DQ-00048;04 January 2020;OB0002;92;;RS DQLab;sell
DQ-00049;04 January 2020;OD0008;64;;RS DQLab;sell
DQ-00050;04 January 2020;OH0005;2;;RS DQLab;sell
DQ-00051;04 January 2020;OD0011;63;;RS DQLab;sell
DQ-00052;05 January 2020;OD0008;15;;RS DQLab;sell
DQ-00053;05 January 2020;OD0008;44;;RS DQLab;sell
DQ-00054;05 January 2020;OD0008;72;;RS DQLab;sell
DQ-00055;05 January 2020;OH0005;1;;RS DQLab;sell
DQ-00056;05 January 2020;OD0007;44;;RS DQLab;sell
DQ-00057;05 January 2020;OA0004;63;;RS DQLab;sell
DQ-00058;05 January 2020;OA0004;3;;RS DQLab;sell
DQ-00059;05 January 2020;OA0001;3;;RS DQLab;jual
DQ-00060;06 January 2020;OB0002;87;;RS DQLab;sell
DQ-00061;06 January 2020;OB0002;53;;RS DQLab;sell
DQ-00062;06 January 2020;OD0008;1;;RS DQLab;sell
DQ-00063;06 January 2020;OA0005;49;;RS DQLab;sell
DQ-00064;06 January 2020;OH0005;1;;RS DQLab;sell
DQ-00065;06 January 2020;OT0001;44;;RS DQLab;sell
DQ-00066;07 January 2020;OD0002;38;;RS DQLab;sell
DQ-00067;07 January 2020;OD0009;47;;RS DQLab;sell
DQ-00068;07 January 2020;OD0009;51;;RS DQLab;sell
DQ-00069;07 January 2020;OD0009;28;;RS DQLab;sell
DQ-00070;08 January 2020;OD0008;9;;RS DQLab;sell
DQ-00071;08 January 2020;OD0007;11;;RS DQLab;sell
DQ-00072;08 January 2020;OK0002;25;;RS DQLab;sell
DQ-00073;08 January 2020;OH0001;2;;RS DQLab;sell
DQ-00074;08 January 2020;OA0001;11;;RS DQLab;sell
DQ-00075;08 January 2020;OB0008;116;;RS DQLab;sell
DQ-00076;09 January 2020;OD0008;27;;RS DQLab;sell
DQ-00077;09 January 2020;OH0005;2;;RS DQLab;sell
DQ-00078;09 January 2020;OB0006;52;;RS DQLab;sell
DQ-00079;09 January 2020;OA0004;20;;RS DQLab;sell
DQ-00080;09 January 2020;OB0001;32;;RS DQLab;sell
DQ-00081;09 January 2020;OA0001;2;;RS DQLab;sell
DQ-00082;09 January 2020;OD0005;4;;RS DQLab;sell
DQ-00083;09 January 2020;OB0008;31;;RS DQLab;sell
DQ-00084;10 January 2020;OB0006;72;;RS DQLab;sell
DQ-00085;11 January 2020;OB0002;18;;RS DQLab;sell
DQ-00086;11 January 2020;OB0002;34;;RS DQLab;sell
DQ-00087;11 January 2020;OD0008;63;;RS DQLab;sel
DQ-00088;11 January 2020;OD0009;48;;RS DQLab;sell
DQ-00089;11 January 2020;OD0001;23;;RS DQLab;sell
DQ-00090;11 January 2020;OB0004;271;;RS DQLab;sell
DQ-00091;11 January 2020;OH0006;65;;RS DQLab;sell
DQ-00092;12 January 2020;OB0002;14;;RS DQLab;sell
DQ-00093;12 January 2020;OB0002;15;;RS DQLab;sell
DQ-00094;12 January 2020;OD0009;6;;RS DQLab;sell
DQ-00095;12 January 2020;OH0003;28;;RS DQLab;sell
DQ-00096;12 January 2020;OH0003;9;;RS DQLab;sell
DQ-00097;12 January 2020;OA0006;11;;RS DQLab;sell
DQ-00098;12 January 2020;OB0006;6;;RS DQLab;sell
DQ-00099;12 January 2020;OB0007;1;;RS DQLab;sell
DQ-00100;12 January 2020;OA0003;2;;RS DQLab;sell
DQ-00101;12 January 2020;OB0001;17;;RS DQLab;sell
DQ-00102;12 January 2020;OB0008;15;;RS DQLab;sell
DQ-00103;13 January 2020;OD0008;61;;RS DQLab;sell
DQ-00104;13 January 2020;OH0005;11;;RS DQLab;sell
DQ-00105;13 January 2020;OD0007;19;;RS DQLab;sell
DQ-00106;13 January 2020;OD0007;164;;RS DQLab;sell
DQ-00107;13 January 2020;OB0007;65;;RS DQLab;sell
DQ-00108;13 January 2020;OA0003;57;;RS DQLab;sell
DQ-00109;13 January 2020;OB0004;2;;RS DQLab;sell
DQ-00110;14 January 2020;OB0002;36;;RS DQLab;sell
DQ-00111;14 January 2020;OA0005;74;;RS DQLab;sell
DQ-00112;14 January 2020;OH0005;33;;RS DQLab;sell
DQ-00113;14 January 2020;OD0009;51;;RS DQLab;sell
DQ-00114;14 January 2020;OD0007;26;;RS DQLab;sell
DQ-00115;14 January 2020;OK0002;355;;RS DQLab;sell
DQ-00116;14 January 2020;OA0003;93;;RS DQLab;sell
DQ-00117;14 January 2020;OB0004;18;;RS DQLab;sell
DQ-00118;15 January 2020;OB0002;95;;RS DQLab;sell
DQ-00119;15 January 2020;OH0005;23;;RS DQLab;sell
DQ-00120;15 January 2020;OK0002;1;;RS DQLab;sell
DQ-00121;15 January 2020;OK0002;70;;RS DQLab;sell
DQ-00122;15 January 2020;OD0006;134;;RS DQLab;sell
DQ-00123;16 January 2020;OB0002;37;;RS DQLab;sell
DQ-00124;16 January 2020;OB0002;29;;RS DQLab;sell
DQ-00125;16 January 2020;OD0008;12;;RS DQLab;sell
DQ-00126;16 January 2020;OH0005;8;;RS DQLab;sell
DQ-00127;16 January 2020;OA0006;5;;RS DQLab;sell
DQ-00128;16 January 2020;OD0007;116;;RS DQLab;sell
DQ-00129;16 January 2020;OD0011;5;;RS DQLab;sell
DQ-00130;16 January 2020;OD0001;103;;RS DQLab;sell
DQ-00131;16 January 2020;OA0004;3;;RS DQLab;sell
DQ-00132;17 January 2020;OK0003;34;;RS DQLab;sel
DQ-00133;17 January 2020;OB0002;27;;RS DQLab;sell
DQ-00134;17 January 2020;OA0005;35;;RS DQLab;sell
DQ-00135;17 January 2020;OA0005;77;;RS DQLab;sell
DQ-00136;17 January 2020;OD0009;5;;RS DQLab;sell
DQ-00137;17 January 2020;OD0009;52;;RS DQLab;sell
DQ-00138;17 January 2020;OA00060;162;;RS DQLab;sell
DQ-00139;17 January 2020;OD0007;12;;RS DQLab;sell
DQ-00140;17 January 2020;OB0006;1;;RS DQLab;sell
DQ-00141;17 January 2020;OK0002;296;;RS DQLab;sell
DQ-00142;17 January 2020;OB0004;107;;RS DQLab;sell
DQ-00143;18 January 2020;OB0002;36;;RS DQLab;sell
DQ-00144;18 January 2020;OB0002;77;;RS DQLab;sell
DQ-00145;18 January 2020;OB0002;13;;RS DQLab;sell
DQ-00146;18 January 2020;OB0002;18;;RS DQLab;sell
DQ-00147;18 January 2020;OD0008;20;;RS DQLab;sell
DQ-00148;18 January 2020;OA0005;45;;RS DQLab;sell
DQ-00149;18 January 2020;OD0001;1;;RS DQLab;sell
DQ-00150;19 January 2020;OB0002;78;;RS DQLab;sell
DQ-00151;19 January 2020;OD0008;47;;RS DQLab;sell
DQ-00152;19 January 2020;OD0008;48;;RS DQLab;sell
DQ-00153;19 January 2020;OD0008;24;;RS DQLab;sell
DQ-00154;19 January 2020;OA0005;17;;RS DQLab;sell
DQ-00155;19 January 2020;OH0005;50;;RS DQLab;sell
DQ-00156;19 January 2020;OH0005;24;;RS DQLab;sell
DQ-00157;19 January 2020;OA0006;73;;RS DQLab;sell
DQ-00158;19 January 2020;OD0011;76;;RS DQLab;sell
DQ-00159;19 January 2020;OD0001;89;;RS DQLab;sell
DQ-00160;19 January 2020;OK0002;155;;RS DQLab;sell
DQ-00161;19 January 2020;OK0002;46;;RS DQLab;sell
DQ-00162;19 January 2020;OA0004;1998;;RS DQLab;sell
DQ-00163;19 January 2020;OH0004;1335;;RS DQLab;sell
DQ-00164;20 January 2020;OB0002;64;;RS DQLab;sell
DQ-00165;20 January 2020;OD0008;60;;RS DQLab;sell
DQ-00166;20 January 2020;OA0004;0;;RS DQLab;sell
DQ-00167;20 January 2020;OB0007;6;;RS DQLab;sell
DQ-00168;20 January 2020;OD0010;35;;RS DQLab;sell
DQ-00169;21 January 2020;OB0002;14;;RS DQLab;sell
DQ-00170;21 January 2020;OD0008;39;;RS DQLab;sell
DQ-00171;21 January 2020;OD0008;51;;RS DQLab;sell
DQ-00172;21 January 2020;OD0009;43;;RS DQLab;sell
DQ-00173;21 January 2020;OD0009;48;;RS DQLab;selll
DQ-00174;21 January 2020;OH0003;21;;RS DQLab;sell
DQ-00175;21 January 2020;OB0006;3;;RS DQLab;sell
DQ-00176;21 January 2020;OB0001;129;;RS DQLab;sell
DQ-00177;21 January 2020;OH0006;8;;RS DQLab;sell
DQ-00178;22 January 2020;OB0002;51;;RS DQLab;sell
DQ-00179;22 January 2020;OD0011;36;;RS DQLab;sell
DQ-00180;22 January 2020;OK0002;9;;RS DQLab;sell
DQ-00181;23 January 2020;OB0002;65;;RS DQLab;sell
DQ-00182;23 January 2020;OH0005;13;;RS DQLab;sell
DQ-00183;23 January 2020;OH0005;2;;RS DQLab;sell
DQ-00184;23 January 2020;OT0001;33;;RS DQLab;sell
DQ-00185;23 January 2020;OH0003;6;;RS DQLab;sell
DQ-00186;23 January 2020;OA0006;1;;RS DQLab;sell
DQ-00187;23 January 2020;OD0007;40;;RS DQLab;sell
DQ-00188;23 January 2020;OD0007;30;;RS DQLab;sell
DQ-00189;23 January 2020;OH0001;4;;RS DQLab;sell
DQ-00190;23 January 2020;OA0004;125;;RS DQLab;sell
DQ-00191;24 January 2020;OA0005;25;;RS DQLab;sell
DQ-00192;24 January 2020;OD0009;12;;RS DQLab;sell
DQ-00193;24 January 2020;OT0001;17;;RS DQLab;sell
DQ-00194;24 January 2020;OD0007;5;;RS DQLab;sell
DQ-00195;24 January 2020;OK0002;7;;RS DQLab;sell
DQ-00196;24 January 2020;OD0006;22;;RS DQLab;sell
DQ-00197;24 January 2020;OB0001;44;;RS DQLab;sell
DQ-00198;25 January 2020;OB0002;97;;RS DQLab;sell
DQ-00199;25 January 2020;OD0008;9;;RS DQLab;sell
DQ-00200;25 January 2020;OD0008;39;;RS DQLab;sell
DQ-00201;25 January 2020;OD0008;56;;RS DQLab;sell
DQ-00202;25 January 2020;OD0009;18;;RS DQLab;sell
DQ-00203;25 January 2020;OD0009;35;;RS DQLab;sell
DQ-00204;25 January 2020;OD0009;39;;RS DQLab;sell
DQ-00205;25 January 2020;OA0003;35;;RS DQLab;sell
DQ-00206;25 January 2020;OD0010;35;;RS DQLab;sell
DQ-00207;26 January 2020;OD0008;72;;RS DQLab;sell
DQ-00208;26 January 2020;OA0005;45;;RS DQLab;sell
DQ-00209;26 January 2020;OD0009;19;;RS DQLab;sell
DQ-00210;26 January 2020;OD0007;2;;RS DQLab;sell
DQ-00211;26 January 2020;OD0007;89;;RS DQLab;sell
DQ-00212;27 January 2020;OH0007;8;;RS DQLab;sell
DQ-00213;27 January 2020;OD0008;42;;RS DQLab;selll
DQ-00214;27 January 2020;OA0005;36;;RS DQLab;sell
DQ-00215;27 January 2020;OA0006;17;;RS DQLab;sell
DQ-00216;27 January 2020;OH0002;34;;RS DQLab;sell
DQ-00217;28 January 2020;OB0002;62;;RS DQLab;sell
DQ-00218;28 January 2020;OD0008;67;;RS DQLab;sell
DQ-00219;28 January 2020;OD0008;36;;RS DQLab;sell
DQ-00220;28 January 2020;OD0007;84;;RS DQLab;sell
DQ-00221;28 January 2020;OD0001;58;;RS DQLab;sell
DQ-00222;29 January 2020;OD0008;11;;RS DQLab;sell
DQ-00223;29 January 2020;OD009;21;;RS DQLab;sell
DQ-00224;29 January 2020;OT0001;2;;RS DQLab;sell
DQ-00225;29 January 2020;OD0007;49;;RS DQLab;sell
DQ-00226;29 January 2020;OB0006;13;;RS DQLab;sell
DQ-00227;29 January 2020;OK0002;88;;RS DQLab;sell
DQ-00228;29 January 2020;OB0007;80;;RS DQLab;sell
DQ-00229;29 January 2020;OB0007;15;;RS DQLab;sell
DQ-00230;29 January 2020;OB0007;53;;RS DQLab;sell
DQ-00231;29 January 2020;OB0004;15;;RS DQLab;sell
DQ-00232;29 January 2020;OB0004;93;;RS DQLab;sell
DQ-00233;29 January 2020;OD0006;74;;RS DQLab;sell
DQ-00234;30 January 2020;OB0002;35;;RS DQLab;sell
DQ-00235;30 January 2020;OD0008;16;;RS DQLab;juak
DQ-00236;30 January 2020;OH0005;20;;RS DQLab;sell
DQ-00237;30 January 2020;OH0005;12;;RS DQLab;sell
DQ-00238;30 January 2020;OD0009;23;;RS DQLab;sell
DQ-00239;30 January 2020;OD0001;4;;RS DQLab;sell
DQ-00240;30 January 2020;OK0002;35;;RS DQLab;sell
DQ-00241;30 January 2020;OB0004;113;;RS DQLab;sell
DQ-00242;30 January 2020;OB0004;314;;RS DQLab;sell
DQ-00243;31 January 2020;OD0008;38;;RS DQLab;sell
DQ-00244;31 January 2020;OH0003;37;;RS DQLab;sell
DQ-00245;31 January 2020;OB0006;182;;RS DQLab;sell
DQ-00246;31 January 2020;OD0006;41;;RS DQLab;sell
DQ-00247;31 January 2020;OB0001;3;;RS DQLab;sell
DQ-00248;31 January 2020;OA0001;4;;RS DQLab;sell
DQ-00249;01 February 2020;OK0001;14;;RS DQLab;sell
DQ-00250;01 February 2020;OB0002;8;;RS DQLab;sell
DQ-00251;01 February 2020;OB0002;59;;RS DQLab;sell
DQ-00252;01 February 2020;OD0008;7;;RS DQLab;sell
DQ-00253;01 February 2020;OH0005;27;;RS DQLab;sell
DQ-00254;01 February 2020;OT0001;41;;RS DQLab;sell
DQ-00255;01 February 2020;OT0001;31;;RS DQLab;sell
DQ-00256;01 February 2020;OH0003;48;;RS DQLab;sell
DQ-00257;01 February 2020;OB0006;53;;RS DQLab;sell
DQ-00258;01 February 2020;OD0006;5;;RS DQLab;sell
DQ-00259;01 February 2020;OA0004;3000;DQLab-15;;buy
DQ-00260;01 February 2020;OA0006;1000;DQLab-01;;buy
DQ-00261;01 February 2020;OB0002;3000;DQLab-06;;buy
DQ-00262;01 February 2020;OB0004;2000;DQLab-6;;buy
DQ-00263;01 February 2020;OB0006;2000;DQLab-12;;buy
DQ-00264;01 February 2020;OB0008;1000;DQLab-02;;buy
DQ-00265;01 February 2020;OB0009;500;DQLab--13;;buy
DQ-00266;01 February 2020;OD0001;2000;DQLab--05;;buy
DQ-00267;01 February 2020;OD0008;2000;;;buy
DQ-00268;01 February 2020;OD0009;1000;DQLab-10;;buy
DQ-00269;01 February 2020;OD0011;2000;DQLab-03;;buy
DQ-00270;01 February 2020;OH0003;1000;DQLab-16;;buy
DQ-00271;01 February 2020;OH0004;2000;DQLab-09;;buy
DQ-00272;01 February 2020;OH0005;1000;DQLab-09;;buy
DQ-00273;01 February 2020;OK0002;2000;DQLab-12;;buy
DQ-00274;01 February 2020;OT0002;500;DQLab-16;;buy
DQ-00275;02 February 2020;OD0008;52;;RS DQLab;sell
DQ-00276;02 February 2020;OB0006;16;;RS DQLab;sell
DQ-00277;02 February 2020;OK0002;18;;RS DQLab;sell
DQ-00278;02 February 2020;OA0003;131;;RS DQLab;sell
DQ-00279;03 February 2020;OD0008;37;;RS DQLab;sell
DQ-00280;03 February 2020;OH0005;24;;RS DQLab;sell
DQ-00281;03 February 2020;OH0005;45;;RS DQLab;sell
DQ-00282;03 February 2020;OT0001;30;;RS DQLab;sell
DQ-00283;03 February 2020;OH0003;41;;RS DQLab;sell
DQ-00284;03 February 2020;OH0003/;5;;RS DQLab;sell
DQ-00285;03 February 2020;OB0006;46;;RS DQLab;sell
DQ-00286;03 February 2020;OB0007;132;;RS DQLab;sell
DQ-00287;03 February 2020;OB0004;45;;RS DQLab;sell
DQ-00288;03 February 2020;OB0001;204;;RS DQLab;sell
DQ-00289;04 February 2020;OB0002;41;;RS DQLab;sell
DQ-00290;04 February 2020;OB0002;81;;RS DQLab;sell
DQ-00291;04 February 2020;OD0009;13;;RS DQLab;sell
DQ-00292;04 February 2020;OD0001;21;;RS DQLab;sell
DQ-00293;04 February 2020;OB0001;39;;RS DQLab;sell
DQ-00294;05 February 2020;OA0005;55;;RS DQLab;sell
DQ-00295;05 February 2020;OA0006;12;;RS DQLab;sell
DQ-00296;05 February 2020;OD0001;27;;RS DQLab;sell
DQ-00297;05 February 2020;OK0002;2;;RS DQLab;sell
DQ-00298;05 February 2020;OH0001;108;;RS DQLab;sell
DQ-00299;06 February 2020;OA0005;52;;RS DQLab;sell
DQ-00300;06 February 2020;OA0005;76;;RS DQLab;sell
DQ-00301;06 February 2020;OH0005;28;;RS DQLab;sell
DQ-00302;06 February 2020;OT0001;21;;RS DQLab;sell
DQ-00303;06 February 2020;OH0003;7;;RS DQLab;sell
DQ-00304;06 February 2020;OB0006;3;;RS DQLab;sell
DQ-00305;06 February 2020;OB0006;44;;RS DQLab;sell
DQ-00306;06 February 2020;OD0001;24;;RS DQLab;sell
DQ-00307;06 February 2020;OD0001;6;;RS DQLab;sell
DQ-00308;06 February 2020;OH0001;38;;RS DQLab;sell
DQ-00309;06 February 2020;OB0008;41;;RS DQLab;sell
DQ-00310;07 February 2020;OB0002;1;;RS DQLab;sell
DQ-00311;07 February 2020;OB0002;34;;RS DQLab;sell
DQ-00312;07 February 2020;OD0008;27;;RS DQLab;sell
DQ-00313;07 February 2020;OD0008;69;;RS DQLab;sell
DQ-00314;07 February 2020;OH0003;15;;RS DQLab;sell
DQ-00315;07 February 2020;OH0003;36;;RS DQLab;sell
DQ-00316;07 February 2020;OD0011;68;;RS DQLab;sell
DQ-00317;07 February 2020;OD0011;28;;RS DQLab;sel
DQ-00318;07 February 2020;OH0002;115;;RS DQLab;sell
DQ-00319;08 February 2020;OD0008;57;;RS DQLab;sell
DQ-00320;08 February 2020;OH0005;4;;RS DQLab;sell
DQ-00321;08 February 2020;OH0005;24;;RS DQLab;sell
DQ-00322;08 February 2020;OB0006;27;;RS DQLab;sell
DQ-00323;08 February 2020;OB0006;2;;RS DQLab;sell
DQ-00324;08 February 2020;OD0001;369;;RS DQLab;sell
DQ-00325;08 February 2020;OB0004;33;;RS DQLab;sell
DQ-00326;08 February 2020;OH0006;140;;RS DQLab;sell
DQ-00327;09 February 2020;OD0008;17;;RS DQLab;sell
DQ-00328;09 February 2020;OT0001;7;;RS DQLab;sell
DQ-00329;09 February 2020;OH0003;25;;RS DQLab;sell
DQ-00330;09 February 2020;OK0002;2;;RS DQLab;sell
DQ-00331;09 February 2020;OB0001;325;;RS DQLab;sell
DQ-00332;10 February 2020;OA0005;46;;RS DQLab;sell
DQ-00333;10 February 2020;OH0005;30;;RS DQLab;sell
DQ-00334;10 February 2020;OH0003;23;;RS DQLab;sell
DQ-00335;10 February 2020;OH0001;25;;RS DQLab;sell
DQ-00336;10 February 2020;OA0004;2;;RS DQLab;sell
DQ-00337;11 February 2020;OB0002;83;;RS DQLab;sell
DQ-00338;11 February 2020;OA0005;35;;RS DQLab;sell
DQ-00339;11 February 2020;OH0005;34;;RS DQLab;sel
DQ-00340;11 February 2020;OD0010;37;;RS DQLab;sell
DQ-00341;12 February 2020;OA0005;46;;RS DQLab;sell
DQ-00342;12 February 2020;OT0001;27;;RS DQLab;sell
DQ-00343;12 February 2020;OH0003;34;;RS DQLab;sell
DQ-00344;12 February 2020;OK0002;12;;RS DQLab;sell
DQ-00345;12 February 2020;OH0001;188;;RS DQLab;sell
DQ-00346;13 February 2020;OB0002;83;;RS DQLab;sell
DQ-00347;13 February 2020;OD0008;55;;RS DQLab;sell
DQ-00348;13 February 2020;OD0008;62;;RS DQLab;sell
DQ-00349;13 February 2020;OA0005.;10;;RS DQLab;sell
DQ-00350;13 February 2020;OH0005;24;;RS DQLab;sell
DQ-00351;13 February 2020;OD0009;5;;RS DQLab;sell
DQ-00352;13 February 2020;OD0007;3;;RS DQLab;sell
DQ-00353;13 February 2020;OA0003;231;;RS DQLab;sell
DQ-00354;13 February 2020;OD0010;21;;RS DQLab;sell
DQ-00355;14 February 2020;OB0002;50;;RS DQLab;sell
DQ-00356;14 February 2020;OB0002;88;;RS DQLab;sell
DQ-00357;14 February 2020;OD0011;239;;RS DQLab;sell
DQ-00358;14 February 2020;OH0004;294;;RS DQLab;jual
DQ-00359;15 February 2020;OD0009;17;;RS DQLab;sell
DQ-00360;15 February 2020;OH0001;23;;RS DQLab;sell
DQ-00361;15 February 2020;OB0004;21;;RS DQLab;sell
DQ-00362;15 February 2020;OB0008;8;;RS DQLab;sell
DQ-00363;16 February 2020;OD0008;46;;RS DQLab;sell
DQ-00364;16 February 2020;OT0001;39;;RS DQLab;sell
DQ-00365;16 February 2020;OA0003;169;;RS DQLab;sell
DQ-00366;17 February 2020;OB0002;20;;RS DQLab;sell
DQ-00367;17 February 2020;OD0009;20;;RS DQLab;sell
DQ-00368;17 February 2020;OD0006;7;;RS DQLab;sell
DQ-00369;18 February 2020;OA0005;55;;RS DQLab;sell
DQ-00370;18 February 2020;OD0009;5;;RS DQLab;sell
DQ-00371;18 February 2020;OT0001;47;;RS DQLab;sell
DQ-00372;18 February 2020;OH0002;12;;RS DQLab;sell
DQ-00373;19 February 2020;OD0008;34;;RS DQLab;sell
DQ-00374;19 February 2020;OT0001;35;;RS DQLab;sell
DQ-00375;19 February 2020;OH0001;5;;RS DQLab;sell
DQ-00376;19 February 2020;OA0004;12;;RS DQLab;sell
DQ-00377;19 February 2020;OD0005;3;;RS DQLab;sell
DQ-00378;19 February 2020;OB0008;14;;RS DQLab;sell
DQ-00379;20 February 2020;OB0002;30;;RS DQLab;sell
DQ-00380;20 February 2020;OH0005;52;;RS DQLab;sell
DQ-00381;20 February 2020;OH0005;3;;RS DQLab;sell
DQ-00382;20 February 2020;OB0006;176;;RS DQLab;sell
DQ-00383;20 February 2020;OA0004;21;;RS DQLab;sell
DQ-00384;21 February 2020;OA0005;63;;RS DQLab;sell
DQ-00385;21 February 2020;OH0005;50;;RS DQLab;sell
DQ-00386;21 February 2020;OB0006;358;;;sell
DQ-00387;21 February 2020;OD0011;73;;;sell
DQ-00388;21 February 2020;OD0001;90;;RS DQLab;sell
DQ-00389;21 February 2020;OD0006;382;;RS DQLab;sell
DQ-00390;22 February 2020;OB0002;43;;RS DQLab;sell
DQ-00391;22 February 2020;OB0002;60;;RS DQLab;sell
DQ-00392;22 February 2020;OB0006;24;;RS DQLab;sell
DQ-00393;23 February 2020;OB0002;95;;RS DQLab;sell
DQ-00394;23 February 2020;OH0005;22;;RS DQLab;sell
DQ-00395;23 February 2020;OD0009;19;;RS DQLab;sell
DQ-00396;23 February 2020;OH0003;52;;RS DQLab;sell
DQ-00397;24 February 2020;OT0001;14;;RS DQLab;sell
DQ-00398;24 February 2020;OK0002;256;;RS DQLab;sell
DQ-00399;24 February 2020;OA0003;60;;RS DQLab;sell
DQ-00400;24 February 2020;OD0006;66;;RS DQLab;sell
DQ-00401;25 February 2020;OB0002;46;;RS DQLab;sell
DQ-00402;25 February 2020;OK0002;168;;RS DQLab;sell
DQ-00403;25 February 2020;OK0002;18;;RS DQLab;sell
DQ-00404;25 February 2020;OH0001;40;;RS DQLab;selll
DQ-00405;25 February 2020;OB0004;3;;RS DQLab;sell
DQ-00406;25 February 2020;OB0004;258;;RS DQLab;sell
DQ-00407;25 February 2020;OB0004;7;;RS DQLab;sell
DQ-00408;25 February 2020;OA0001;3;;RS DQLab;sell
DQ-00409;26 February 2020;OD0008;5;;RS DQLab;sell
DQ-00410;26 February 2020;OD0008;43;;RS DQLab;sell
DQ-00411;26 February 2020;OD0009;43;;RS DQLab;sell
DQ-00412;26 February 2020;OH0003;45;;RS DQLab;sell
DQ-00413;26 February 2020;OA0006;78;;RS DQLab;sell
DQ-00414;26 February 2020;OA0004;16;;RS DQLab;sell
DQ-00415;26 February 2020;OH0004;45;;RS DQLab;sell
DQ-00416;27 February 2020;OB0002;67;;RS DQLab;sell
DQ-00417;27 February 2020;OB0002;61;;RS DQLab;sell
DQ-00418;27 February 2020;OD0008;25;;RS DQLab;sell
DQ-00419;27 February 2020;OA0005;55;;RS DQLab;sell
DQ-00420;27 February 2020;OD0009;6;;RS DQLab;sell
DQ-00421;27 February 2020;OA0006;32;;RS DQLab;sell
DQ-00422;27 February 2020;OB0006;92;;RS DQLab;sell
DQ-00423;27 February 2020;OD0011;103;;RS DQLab;sell
DQ-00424;28 February 2020;OB0002;39;;RS DQLab;sell
DQ-00425;28 February 2020;OB0002;96;;RS DQLab;sell
DQ-00426;28 February 2020;OB0002;80;;RS DQLab;sell
DQ-00427;28 February 2020;OA0005;14;;RS DQLab;sell
DQ-00428;28 February 2020;OD0001;8;;RS DQLab;sell
DQ-00429;29 February 2020;OD0008;69;;RS DQLab;sell
DQ-00430;29 February 2020;OA0005;70;;RS DQLab;sell
DQ-00431;29 February 2020;OA0005;54;;RS DQLab;sell
DQ-00432;29 February 2020;OA06;21;;RS DQLab;sell
DQ-00433;29 February 2020;OD0007;3;;RS DQLab;sell
DQ-00434;29 February 2020;OB0006;25;;RS DQLab;sell
